ID	ERR	ERS	ST	Country	Source	Serotype	ermB	mefA	cat	Year	Country3	ermB_color	mefA_color	cat_color
19084_7#43	ERR1422372	ERS1021345	320	QA	Blood	19A	+	+	-	2012	Qatar	#FFFF00	#FFFF00	#000000
19084_7#77	ERR1422406	ERS1021379	320	PE	Blood	19A	+	+	-	2006	Peru	#FFFF00	#FFFF00	#000000
19084_8#135	ERR1422648	ERS1021621	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
19084_8#176	ERR1422689	ERS1021662	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
19084_8#178	ERR1422691	ERS1021664	320	US	Blood	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
20925_3#66	ERR1756451	ERS1207594	320	IN	Blood	19A	+	+	-	2014	India	#FFFF00	#FFFF00	#000000
21999_7#162	ERR2089424	ERS1813707	320	BR	Blood	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_7#173	ERR2089435	ERS1813718	320	BR	Blood	19A	+	+	-	2012	Brazil	#FFFF00	#FFFF00	#000000
21999_8#109	ERR2089554	ERS1813839	320	BR	Blood	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
21999_8#40	ERR2089485	ERS1813767	320	BR	Blood	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
22841_1#119	ERR2090660	ERS1699398	320	IL	blood	19A	+	+	-	2013	Israel	#FFFF00	#FFFF00	#000000
22841_1#24	ERR2090565	ERS1699110	320	IL	blood	19A	+	+	-	2010	Israel	#FFFF00	#FFFF00	#000000
12291_4#15	ERR505732	ERS394141	320	US	CSF	19A	+	+	-	2009	USA	#FFFF00	#FFFF00	#000000
13710_1#33	ERR662349	ERS455355	320	US	CSF	19A	+	+	-	2012	USA	#FFFF00	#FFFF00	#000000
15608_5#73	ERR876770	ERS629013	320	PL	CSF	19F	+	+	-	2007	Poland	#FFFF00	#FFFF00	#000000
15682_1#50	ERR884348	ERS628988	320	PL	CSF	19F	+	+	-	2010	Poland	#FFFF00	#FFFF00	#000000
15682_1#67	ERR884365	ERS629012	320	PL	CSF	19F	+	+	-	2010	Poland	#FFFF00	#FFFF00	#000000
15682_2#64	ERR884457	ERS629127	320	PL	CSF	19F	+	+	-	2013	Poland	#FFFF00	#FFFF00	#000000
15682_2#68	ERR884461	ERS629131	320	PL	CSF	19F	+	+	-	2013	Poland	#FFFF00	#FFFF00	#000000
21053_8#169	ERR1788180	ERS1299372	320	RU	CSF	19A	+	+	-	2014	Russian Federation	#FFFF00	#FFFF00	#000000
21127_1#27	ERR1788226	ERS1299650	320	BY	CSF	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#78	ERR1788276	ERS1299783	320	BY	CSF	19F	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21999_8#83	ERR2089528	ERS1813815	320	BR	CSF	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
21999_8#86	ERR2089531	ERS1813818	320	BR	CSF	19A	+	+	-	2013	Brazil	#FFFF00	#FFFF00	#000000
19084_8#44	ERR1422557	ERS1021530	320	PE	CSF	19A	+	+	-	2010	Peru	#FFFF00	#FFFF00	#000000
21127_1#29	ERR1788228	ERS1299777	320	BY	Ear	19A	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#30	ERR1788229	ERS1299397	320	BY	Ear	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#39	ERR1788237	ERS1299401	320	BY	Ear	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#41	ERR1788239	ERS1299402	320	BY	Ear	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#42	ERR1788240	ERS1299841	320	BY	Ear	19F	+	+	-	2013	Belarus	#FFFF00	#FFFF00	#000000
21127_1#79	ERR1788277	ERS1299421	320	BY	Ear	19A	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#80	ERR1788278	ERS1299663	320	BY	Ear	19A	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#81	ERR1788279	ERS1299422	320	BY	Ear	19F	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#87	ERR1788285	ERS1299425	320	BY	Ear	19F	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#95	ERR1788293	ERS1299429	320	BY	Ear	19F	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
21127_1#99	ERR1788297	ERS1299431	320	BY	Ear	19A	+	+	-	2014	Belarus	#FFFF00	#FFFF00	#000000
13414_4#42	ERR600308	ERS455418	320	US	N/A	19A	+	+	-	N/A	USA	#FFFF00	#FFFF00	#000000
18090_2#154	ERR1214662	ERS740899	320	CN	N/A	19F	+	+	-	2001	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#112	ERR1453760	ERS1021226	320	CN	N/A	19A	+	+	-	2009	Hong Kong	#FFFF00	#FFFF00	#000000
19341_3#113	ERR1453761	ERS1021227	320	CN	N/A	19A	+	+	-	2009	Hong Kong	#FFFF00	#FFFF00	#000000
